Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
1,1,hatchback,Silver,,,0,0.103,2.046,0.016
2,1,hatchback,Silver,,,0,0.12,0.125,0.032
3,1,sedan,Black,,,0,0.109,0.109,0.016
4,1,hatchback,Silver,,,0,0.124,0.109,0.031
5,1,hatchback,Silver,,,0,0.124,0.094,0.016
6,1,hatchback,Silver,,,0,0.119,0.125,0.016
7,1,hatchback,Black,,,0,0.128,0.109,0.016
8,1,hatchback,Black,,,0,0.121,0.094,0.016
9,1,hatchback,Black,,,0,0.129,0.125,0.031
10,1,hatchback,Black,,,0,0.102,0.094,0.016
11,1,hatchback,Black,,,0,0.124,0.116,0.016
12,1,hatchback,Black,,,0,0.125,0.182,0.016
13,1,hatchback,Black,,,0,0.125,0.152,0.016
14,1,hatchback,Black,,,0,0.123,0.131,0.016
15,1,sedan,Black,,,0,0.124,0.125,0.016
16,1,hatchback,Black,,,0,0.128,0.109,0.016
17,1,hatchback,Black,,,0,0.103,0.094,0.016
18,1,hatchback,Black,,,0,0.094,0.109,0.016
19,1,hatchback,Black,,,0,0.122,0.125,0.016
20,1,hatchback,Black,,,0,0.127,0.109,0.001
21,1,hatchback,Black,,,0,0.142,0.078,0.016
22,1,hatchback,Black,,,0,0.123,0.109,0.0
23,0,,,,,0,0.124,,
24,0,,,,,0,0.123,,
25,0,,,,,0,0.131,,
26,0,,,,,0,0.125,,
27,0,,,,,0,0.12,,
28,0,,,,,0,0.121,,
29,0,,,,,0,0.125,,
30,0,,,,,0,0.094,,
31,0,,,,,0,0.125,,
32,0,,,,,0,0.116,,
33,0,,,,,0,0.122,,
34,0,,,,,0,0.12,,
35,0,,,,,0,0.12,,
36,0,,,,,0,0.119,,
37,0,,,,,0,0.122,,
38,0,,,,,0,0.123,,
39,0,,,,,0,0.117,,
40,0,,,,,0,0.118,,
41,0,,,,,0,0.138,,
42,0,,,,,0,0.128,,
43,0,,,,,0,0.12,,
44,0,,,,,0,0.122,,
45,0,,,,,0,0.121,,
46,0,,,,,0,0.116,,
47,0,,,,,0,0.119,,
48,0,,,,,0,0.121,,
49,0,,,,,0,0.119,,
50,0,,,,,0,0.122,,
51,0,,,,,0,0.191,,
52,0,,,,,0,0.117,,
53,0,,,,,0,0.116,,
54,0,,,,,0,0.121,,
55,1,hatchback,Black,,,0,0.121,0.109,0.0
56,0,,,,,0,0.122,,
57,0,,,,,0,0.12,,
58,1,hatchback,Black,,,0,0.124,0.109,0.016
59,1,hatchback,Black,,,0,0.122,0.094,0.016
60,0,,,,,0,0.12,,
61,1,hatchback,Black,,,0,0.125,0.109,0.016
62,0,,,,,0,0.121,,
63,2,hatchback,Black,hatchback,Black,0,0.126,0.203,0.031
64,2,hatchback,Black,hatchback,Black,0,0.122,0.187,0.031
65,2,hatchback,Black,hatchback,Black,0,0.125,0.203,0.031
66,1,hatchback,Black,,,0,0.121,0.078,0.016
67,1,hatchback,Black,,,0,0.123,0.11,0.016
68,1,hatchback,Black,,,0,0.132,0.094,0.016
69,1,hatchback,Black,,,0,0.124,0.109,0.016
70,1,hatchback,Black,,,0,0.122,0.125,0.016
71,1,sedan,Black,,,0,0.122,0.109,0.016
72,1,hatchback,Black,,,0,0.124,0.094,0.0
73,1,hatchback,Black,,,0,0.158,0.094,0.016
74,1,hatchback,Black,,,0,0.123,0.109,0.016
75,1,hatchback,Black,,,0,0.123,0.109,0.0
76,1,hatchback,Black,,,0,0.122,0.094,0.016
77,1,hatchback,Black,,,0,0.121,0.094,0.016
78,1,hatchback,Black,,,0,0.12,0.094,0.016
79,1,hatchback,Black,,,0,0.126,0.094,0.0
80,1,hatchback,Black,,,0,0.123,0.125,0.016
81,0,,,,,0,0.117,,
82,0,,,,,0,0.109,,
83,0,,,,,0,0.124,,
84,0,,,,,0,0.131,,
85,0,,,,,0,0.12,,
86,0,,,,,0,0.109,,
87,0,,,,,0,0.12,,
88,0,,,,,0,0.123,,
89,1,hatchback,Silver,,,0,0.123,0.109,0.0
