Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
1,1,,Silver,,,0.055,0.103,,0.008
2,1,,Silver,,,0.055,0.12,,0.007
3,1,,Black,,,0.055,0.109,,0.005
4,1,,Silver,,,0.055,0.124,,0.007
5,1,,Silver,,,0.055,0.124,,0.009
6,1,,Silver,,,0.055,0.119,,0.006
7,1,,Black,,,0.055,0.128,,0.006
8,1,,Black,,,0.055,0.121,,0.006
9,1,,Black,,,0.055,0.129,,0.007
10,1,,Black,,,0.055,0.102,,0.006
11,1,,Black,,,0.055,0.124,,0.006
12,1,,Black,,,0.055,0.125,,0.006
13,1,,Black,,,0.055,0.125,,0.006
14,1,,Black,,,0.055,0.123,,0.006
15,1,,Black,,,0.055,0.124,,0.005
16,1,,Black,,,0.055,0.128,,0.006
17,1,,Black,,,0.055,0.103,,0.005
18,1,,Black,,,0.055,0.094,,0.004
19,1,,Black,,,0.055,0.122,,0.003
20,1,,Black,,,0.055,0.127,,0.004
21,1,,Black,,,0.055,0.142,,0.003
22,1,,Black,,,0.055,0.123,,0.003
23,0,,,,,0.055,0.124,,
24,0,,,,,0.055,0.123,,
25,0,,,,,0.055,0.131,,
26,0,,,,,0.055,0.125,,
27,0,,,,,0.055,0.12,,
28,0,,,,,0.055,0.121,,
29,0,,,,,0.055,0.125,,
30,0,,,,,0.055,0.094,,
31,0,,,,,0.055,0.125,,
32,0,,,,,0.055,0.116,,
33,0,,,,,0.055,0.122,,
34,0,,,,,0.055,0.12,,
35,0,,,,,0.055,0.12,,
36,0,,,,,0.055,0.119,,
37,0,,,,,0.055,0.122,,
38,0,,,,,0.055,0.123,,
39,0,,,,,0.055,0.117,,
40,0,,,,,0.055,0.118,,
41,0,,,,,0.055,0.138,,
42,0,,,,,0.055,0.128,,
43,0,,,,,0.055,0.12,,
44,0,,,,,0.055,0.122,,
45,0,,,,,0.055,0.121,,
46,0,,,,,0.055,0.116,,
47,0,,,,,0.055,0.119,,
48,0,,,,,0.055,0.121,,
49,0,,,,,0.055,0.119,,
50,0,,,,,0.055,0.122,,
51,0,,,,,0.055,0.191,,
52,0,,,,,0.055,0.117,,
53,0,,,,,0.055,0.116,,
54,0,,,,,0.055,0.121,,
55,1,,Black,,,0.055,0.121,,0.002
56,0,,,,,0.055,0.122,,
57,0,,,,,0.055,0.12,,
58,1,,Black,,,0.055,0.124,,0.005
59,1,,Black,,,0.055,0.122,,0.006
60,0,,,,,0.055,0.12,,
61,1,,Black,,,0.055,0.125,,0.005
62,0,,,,,0.055,0.121,,
63,2,,Black,,Black,0.055,0.126,,0.01
64,2,,Black,,Black,0.055,0.122,,0.013
65,2,,Black,,Black,0.055,0.125,,0.011
66,1,,Black,,,0.055,0.121,,0.005
67,1,,Black,,,0.055,0.123,,0.006
68,1,,Black,,,0.055,0.132,,0.005
69,1,,Black,,,0.055,0.124,,0.005
70,1,,Black,,,0.055,0.122,,0.005
71,1,,Black,,,0.055,0.122,,0.004
72,1,,Black,,,0.055,0.124,,0.005
73,1,,Black,,,0.055,0.158,,0.005
74,1,,Black,,,0.055,0.123,,0.004
75,1,,Black,,,0.055,0.123,,0.004
76,1,,Black,,,0.055,0.122,,0.004
77,1,,Black,,,0.055,0.121,,0.003
78,1,,Black,,,0.055,0.12,,0.003
79,1,,Black,,,0.055,0.126,,0.002
80,1,,Black,,,0.055,0.123,,0.002
81,0,,,,,0.055,0.117,,
82,0,,,,,0.055,0.109,,
83,0,,,,,0.055,0.124,,
84,0,,,,,0.055,0.131,,
85,0,,,,,0.055,0.12,,
86,0,,,,,0.055,0.109,,
87,0,,,,,0.055,0.12,,
88,0,,,,,0.055,0.123,,
89,1,,Silver,,,0.055,0.123,,0.003
90,1,,Silver,,,0.055,0.12,,0.003
91,1,,Silver,,,0.055,0.12,,0.004
92,1,,Silver,,,0.055,0.13,,0.003
93,1,,Silver,,,0.055,0.125,,0.004
94,1,,Silver,,,0.055,0.126,,0.006
95,1,,Silver,,,0.055,0.154,,0.004
96,1,,Silver,,,0.055,0.125,,0.005
97,1,,Silver,,,0.055,0.122,,0.003
98,2,,Silver,,Silver,0.055,0.118,,0.01
99,1,,Silver,,,0.055,0.125,,0.004
100,1,,Silver,,,0.055,0.108,,0.004
101,1,,Silver,,,0.055,0.106,,0.004
102,1,,Silver,,,0.055,0.125,,0.004
103,1,,Silver,,,0.055,0.13,,0.005
104,1,,Silver,,,0.055,0.125,,0.005
105,1,,Silver,,,0.055,0.118,,0.006
106,1,,Silver,,,0.055,0.125,,0.004
107,1,,Silver,,,0.055,0.124,,0.005
108,1,,Silver,,,0.055,0.119,,0.005
109,1,,Silver,,,0.055,0.122,,0.004
110,1,,Silver,,,0.055,0.127,,0.003
111,1,,Silver,,,0.055,0.124,,0.005
112,1,,Silver,,,0.055,0.125,,0.003
113,1,,Silver,,,0.055,0.124,,0.003
114,0,,,,,0.055,0.118,,
115,0,,,,,0.055,0.118,,
116,0,,,,,0.055,0.123,,
117,0,,,,,0.055,0.119,,
118,0,,,,,0.055,0.125,,
119,0,,,,,0.055,0.123,,
120,0,,,,,0.055,0.121,,
121,0,,,,,0.055,0.121,,
122,0,,,,,0.055,0.149,,
123,0,,,,,0.055,0.123,,
124,0,,,,,0.055,0.104,,
125,0,,,,,0.055,0.103,,
126,0,,,,,0.055,0.121,,
127,0,,,,,0.055,0.123,,
128,0,,,,,0.055,0.123,,
129,0,,,,,0.055,0.126,,
130,1,,Silver,,,0.055,0.127,,0.007
131,1,,Silver,,,0.055,0.124,,0.007
132,0,,,,,0.055,0.118,,
133,0,,,,,0.055,0.115,,
134,0,,,,,0.055,0.123,,
135,0,,,,,0.055,0.1,,
136,0,,,,,0.055,0.102,,
137,1,,Silver,,,0.055,0.119,,0.003
138,1,,Silver,,,0.055,0.123,,0.003
139,1,,Black,,,0.055,0.127,,0.004
140,1,,Black,,,0.055,0.125,,0.004
141,1,,Black,,,0.055,0.203,,0.004
142,2,,Black,,Black,0.055,0.136,,0.011
143,2,,Black,,Black,0.055,0.126,,0.01
144,2,,Black,,Black,0.055,0.137,,0.009
145,1,,Black,,,0.055,0.12,,0.004
146,2,,Black,,Black,0.055,0.122,,0.01
147,2,,Black,,Black,0.055,0.121,,0.011
148,1,,Black,,,0.055,0.124,,0.005
149,1,,Black,,,0.055,0.122,,0.005
150,1,,Black,,,0.055,0.121,,0.005
151,1,,Black,,,0.055,0.124,,0.005
152,1,,Black,,,0.055,0.126,,0.004
153,1,,Black,,,0.055,0.121,,0.005
154,1,,Black,,,0.055,0.153,,0.005
155,1,,Black,,,0.055,0.153,,0.006
156,1,,Black,,,0.055,0.175,,0.005
157,1,,Black,,,0.055,0.119,,0.004
158,1,,Black,,,0.055,0.12,,0.005
159,1,,Black,,,0.055,0.12,,0.004
160,1,,Black,,,0.055,0.117,,0.005
161,1,,Black,,,0.055,0.105,,0.006
162,1,,Black,,,0.055,0.102,,0.004
163,0,,,,,0.055,0.101,,
164,0,,,,,0.055,0.102,,
165,0,,,,,0.055,0.1,,
166,0,,,,,0.055,0.1,,
167,0,,,,,0.055,0.098,,
168,0,,,,,0.055,0.104,,
169,0,,,,,0.055,0.097,,
170,0,,,,,0.055,0.099,,
171,0,,,,,0.055,0.097,,
172,0,,,,,0.055,0.1,,
173,0,,,,,0.055,0.107,,
174,0,,,,,0.055,0.135,,
175,0,,,,,0.055,0.125,,
176,0,,,,,0.055,0.109,,
177,0,,,,,0.055,0.109,,
178,0,,,,,0.055,0.094,,
179,0,,,,,0.055,0.109,,
180,0,,,,,0.055,0.112,,
181,0,,,,,0.055,0.1,,
182,0,,,,,0.055,0.101,,
183,0,,,,,0.055,0.1,,
184,0,,,,,0.055,0.099,,
185,0,,,,,0.055,0.107,,
186,0,,,,,0.055,0.099,,
187,0,,,,,0.055,0.099,,
188,0,,,,,0.055,0.098,,
189,0,,,,,0.055,0.122,,
190,0,,,,,0.055,0.123,,
191,0,,,,,0.055,0.126,,
192,0,,,,,0.055,0.121,,
193,0,,,,,0.055,0.123,,
194,0,,,,,0.055,0.12,,
195,0,,,,,0.055,0.128,,
196,0,,,,,0.055,0.118,,
197,0,,,,,0.055,0.122,,
198,0,,,,,0.055,0.122,,
199,0,,,,,0.055,0.119,,
200,0,,,,,0.055,0.122,,
201,0,,,,,0.055,0.12,,
202,0,,,,,0.055,0.126,,
203,0,,,,,0.055,0.12,,
204,0,,,,,0.055,0.118,,
205,0,,,,,0.055,0.121,,
206,0,,,,,0.055,0.118,,
207,0,,,,,0.055,0.129,,
208,0,,,,,0.055,0.121,,
209,0,,,,,0.055,0.117,,
210,0,,,,,0.055,0.126,,
211,0,,,,,0.055,0.12,,
212,0,,,,,0.055,0.125,,
213,0,,,,,0.055,0.122,,
214,0,,,,,0.055,0.125,,
215,0,,,,,0.055,0.126,,
216,0,,,,,0.055,0.121,,
217,0,,,,,0.055,0.117,,
218,0,,,,,0.055,0.128,,
219,0,,,,,0.055,0.116,,
220,0,,,,,0.055,0.116,,
221,0,,,,,0.055,0.132,,
222,0,,,,,0.055,0.12,,
223,0,,,,,0.055,0.124,,
224,0,,,,,0.055,0.12,,
225,0,,,,,0.055,0.12,,
226,0,,,,,0.055,0.123,,
227,0,,,,,0.055,0.118,,
228,0,,,,,0.055,0.12,,
229,0,,,,,0.055,0.117,,
230,0,,,,,0.055,0.121,,
231,0,,,,,0.055,0.118,,
232,0,,,,,0.055,0.124,,
233,0,,,,,0.055,0.116,,
234,0,,,,,0.055,0.123,,
235,0,,,,,0.055,0.121,,
236,0,,,,,0.055,0.118,,
237,0,,,,,0.055,0.126,,
238,0,,,,,0.055,0.121,,
239,0,,,,,0.055,0.124,,
240,0,,,,,0.055,0.121,,
241,0,,,,,0.055,0.127,,
242,0,,,,,0.055,0.122,,
243,0,,,,,0.055,0.116,,
244,0,,,,,0.055,0.125,,
245,0,,,,,0.055,0.12,,
246,0,,,,,0.055,0.122,,
247,0,,,,,0.055,0.114,,
248,0,,,,,0.055,0.117,,
249,0,,,,,0.055,0.118,,
250,0,,,,,0.055,0.122,,
251,0,,,,,0.055,0.119,,
252,0,,,,,0.055,0.12,,
253,0,,,,,0.055,0.118,,
254,0,,,,,0.055,0.121,,
255,0,,,,,0.055,0.12,,
256,0,,,,,0.055,0.12,,
257,0,,,,,0.055,0.122,,
258,0,,,,,0.055,0.126,,
259,0,,,,,0.055,0.12,,
260,0,,,,,0.055,0.124,,
261,0,,,,,0.055,0.122,,
262,0,,,,,0.055,0.123,,
263,0,,,,,0.055,0.12,,
264,0,,,,,0.055,0.117,,
265,0,,,,,0.055,0.122,,
266,0,,,,,0.055,0.122,,
267,0,,,,,0.055,0.126,,
268,0,,,,,0.055,0.119,,
269,0,,,,,0.055,0.123,,
270,0,,,,,0.055,0.12,,
271,0,,,,,0.055,0.123,,
272,0,,,,,0.055,0.12,,
273,0,,,,,0.055,0.124,,
274,0,,,,,0.055,0.131,,
275,0,,,,,0.055,0.12,,
276,0,,,,,0.055,0.118,,
277,0,,,,,0.055,0.122,,
278,0,,,,,0.055,0.12,,
279,0,,,,,0.055,0.122,,
280,0,,,,,0.055,0.113,,
281,0,,,,,0.055,0.097,,
282,0,,,,,0.055,0.106,,
283,0,,,,,0.055,0.101,,
284,0,,,,,0.055,0.099,,
285,0,,,,,0.055,0.099,,
286,0,,,,,0.055,0.101,,
287,0,,,,,0.055,0.099,,
288,0,,,,,0.055,0.141,,
289,0,,,,,0.055,0.141,,
290,0,,,,,0.055,0.141,,
291,0,,,,,0.055,0.156,,
292,0,,,,,0.055,0.125,,
293,0,,,,,0.055,0.136,,
294,0,,,,,0.055,0.138,,
295,0,,,,,0.055,0.119,,
296,0,,,,,0.055,0.094,,
297,0,,,,,0.055,0.094,,
298,0,,,,,0.055,0.109,,
299,0,,,,,0.055,0.094,,
300,0,,,,,0.055,0.115,,
301,0,,,,,0.055,0.106,,
302,0,,,,,0.055,0.103,,
303,0,,,,,0.055,0.101,,
304,0,,,,,0.055,0.097,,
305,0,,,,,0.055,0.12,,
306,0,,,,,0.055,0.118,,
307,0,,,,,0.055,0.123,,
308,0,,,,,0.055,0.122,,
309,0,,,,,0.055,0.113,,
310,0,,,,,0.055,0.109,,
311,0,,,,,0.055,0.125,,
312,0,,,,,0.055,0.125,,
313,0,,,,,0.055,0.125,,
314,0,,,,,0.055,0.109,,
315,0,,,,,0.055,0.125,,
316,0,,,,,0.055,0.109,,
317,0,,,,,0.055,0.134,,
318,0,,,,,0.055,0.116,,
319,0,,,,,0.055,0.122,,
320,0,,,,,0.055,0.124,,
321,0,,,,,0.055,0.123,,
322,0,,,,,0.055,0.121,,
323,0,,,,,0.055,0.122,,
324,0,,,,,0.055,0.121,,
325,0,,,,,0.055,0.121,,
326,0,,,,,0.055,0.121,,
327,0,,,,,0.055,0.125,,
328,0,,,,,0.055,0.124,,
329,0,,,,,0.055,0.123,,
330,0,,,,,0.055,0.121,,
331,0,,,,,0.055,0.121,,
332,0,,,,,0.055,0.117,,
333,0,,,,,0.055,0.124,,
334,0,,,,,0.055,0.121,,
335,0,,,,,0.055,0.124,,
336,0,,,,,0.055,0.125,,
337,0,,,,,0.055,0.123,,
338,0,,,,,0.055,0.122,,
339,0,,,,,0.055,0.122,,
340,0,,,,,0.055,0.12,,
341,0,,,,,0.055,0.12,,
342,0,,,,,0.055,0.12,,
343,0,,,,,0.055,0.125,,
344,0,,,,,0.055,0.116,,
345,0,,,,,0.055,0.123,,
346,0,,,,,0.055,0.123,,
347,0,,,,,0.055,0.123,,
348,0,,,,,0.055,0.125,,
349,0,,,,,0.055,0.121,,
350,0,,,,,0.055,0.127,,
351,0,,,,,0.055,0.121,,
352,0,,,,,0.055,0.119,,
353,0,,,,,0.055,0.125,,
354,0,,,,,0.055,0.124,,
355,0,,,,,0.055,0.118,,
356,0,,,,,0.055,0.119,,
357,0,,,,,0.055,0.121,,
358,0,,,,,0.055,0.125,,
359,0,,,,,0.055,0.123,,
360,0,,,,,0.055,0.117,,
361,0,,,,,0.055,0.122,,
362,0,,,,,0.055,0.12,,
363,0,,,,,0.055,0.121,,
364,0,,,,,0.055,0.123,,
365,0,,,,,0.055,0.124,,
366,0,,,,,0.055,0.119,,
367,0,,,,,0.055,0.125,,
368,0,,,,,0.055,0.122,,
369,0,,,,,0.055,0.121,,
370,0,,,,,0.055,0.126,,
371,0,,,,,0.055,0.118,,
372,0,,,,,0.055,0.121,,
